Date,Indonesia,India,Korea,Thailand,South_Africa,Brazil,Philippines,USD_EM_Index
21/10/2008,9.214,23.3,-13.28,8.95,-51.17,60.88070383,-6.6975,1.260775041
22/10/2008,-21.615,-55.4,-255.91,-73.68,-142.52,-150.7430432,-12.5319,1.835599009
23/10/2008,-27.797,-69.8,-72.26,0,-155.04,-288.8385257,1.7447,-0.117902885
24/10/2008,-30.022,-235.8,-188.94,-77.05,-123.51,-131.6600312,-12.715,0.511191153
27/10/2008,-16.43,-201.8,-215.51,-63.75,-50.88,-164.5195382,-8.5118,-0.590996651
28/10/2008,144.279,0,-219.62,-61.7,-77.4,-52.95999263,-11.1941,0.010425616
29/10/2008,-8.46,-216,11.54,-14.57,20.19,25.25004691,-1.4554,-1.186492203
30/10/2008,-9.753,0,13.52,39.78,-10.73,112.963068,-5.2491,-1.273724749
31/10/2008,388.073,240.3,239.87,52.37,49.58,85.14965247,-2.6058,-0.070761921
3/11/2008,-17.873,155.6,-25.33,26.97,-70.71,-81.0575777,-3.0795,0.0785773
4/11/2008,-1.756,-19.1,-376.12,10.65,83.36,278.6316732,-7.3929,-0.93594287
5/11/2008,-3.354,72,18.91,42.4,-39.08,-93.29859474,-7.5494,0.291352081
6/11/2008,7.502,-86.9,-231.47,-0.05,-115.25,-196.2902404,-10.2736,1.234025896
7/11/2008,-11.173,12.6,-38.19,-2.93,-217.07,-106.3070943,-6.8961,-0.374603125
10/11/2008,6.469,28.6,3.34,-20,168.53,31.89395715,-3.6167,-0.088584505
11/11/2008,25.1,-56,-85.32,-16.4,-41.66,-53.5494865,-5.8782,0.032796278
12/11/2008,-5.999,-126.1,-143.44,-20.06,6.13,-374.2394379,2.3038,1.415255582
13/11/2008,-8.555,0,-259.25,-7.16,-104.12,39.46846847,-3.3508,0.750990042
14/11/2008,-13.315,-114.1,-102.02,-24.61,-44.96,-23.91823127,2.2679,-0.706400036
17/11/2008,23.123,-129,-94.93,-14.96,32.81,-33.67326474,-1.8795,0.369874755
18/11/2008,2.792,-74.3,-145.88,-19.71,-25.74,-96.1460508,-2.6633,0.381071574
19/11/2008,-2.673,-41.8,-186.63,-34.01,45.97,-70.92163959,0.1704,0.360374651
20/11/2008,-2.862,-129.9,-77.28,-51.92,-56.32,0,-7.2321,1.142416719
21/11/2008,-13.418,-102.8,-0.6,-33.13,55.77,-170.9496148,-9.4443,0.721045734
24/11/2008,3.027,-62.2,-65.68,-23.17,-56.29,154.2615764,-1.9441,-1.108364085
25/11/2008,-1.149,0.3,-38.47,-21.9,61.18,63.07522124,1.4968,-0.531926593
26/11/2008,-12.818,-87.5,79.76,-41.52,-3.52,130.5414136,2.3577,-0.322658507
27/11/2008,11.624,0,149.49,2.47,-62.38,-32.80536794,1.5917,-0.000481784
28/11/2008,551.87,84.2,186.58,-23.63,11.65,121.8446435,122.449,0.429790584
1/12/2008,4.454,30.7,20.98,-18.31,31.18,-113.9264038,0,0.747955222
2/12/2008,-4.787,-63.3,-19.27,-46.14,-74.39,-1139.406473,-5.4822,-0.111193753
3/12/2008,-5.752,-97.5,-106.26,-38.01,-113.64,19.71291668,-4.3601,0.195721152
4/12/2008,-1.996,90,-3.89,-49.68,-32.77,-2.432834023,-4.8669,0.117534192
5/12/2008,-0.965,10.3,-3.93,0,-51.28,-51.6984,-3.5476,0.811824068
8/12/2008,0,93.5,92.57,-74.01,-52.77,354.1912092,-5.3542,-1.219314483
9/12/2008,30.599,0,139.59,-42.55,26.4,127.1657603,-3.1365,-0.134257047
10/12/2008,11.845,201.2,241.27,0,36.32,333.86604,-6.0389,-0.512710609
11/12/2008,41.195,68.7,-82.71,17.59,0,183.4771085,-7.3418,-1.452891577
12/12/2008,9.72,-21.9,7.21,-23.09,-84.48,42.9816859,-9.468,1.118773386
15/12/2008,18.631,49.9,78.63,-0.17,9.41,235.8760449,-9.5419,-0.740411327
16/12/2008,0.313,5.8,-43.69,-14.62,0,55.36187392,1.5367,-0.315429455
17/12/2008,-5.507,-23,80.28,32.74,33.52,-167.1190395,-2.6842,-0.506922437
18/12/2008,-7.382,-11.5,0.44,-5.26,244.94,52.28699932,-135.01,-0.49376517
19/12/2008,-0.221,98.3,179.01,-9.43,-67.74,-11.34521065,2.5115,0.176905266
22/12/2008,3.592,-47.3,16.83,3.99,-7.96,-89.52055949,-144.253,0.523375786
23/12/2008,-17.651,-56,-58.2,-10.67,-7.77,-34.23588667,-0.9575,0.241664195
24/12/2008,-5.878,-24.2,-79.62,-11.05,-18.98,0,-0.6609,-0.071355534
25/12/2008,0,0,0,2.89,0,0,0,0.039193358
26/12/2008,-4.178,-54.1,-36.67,-22.14,0,-13.76297175,0,0.162070012
29/12/2008,0,-2.1,36.79,-21.43,11.73,-46.03289913,0,0.189592132
30/12/2008,9.457,25.7,151.44,-10.28,-95.43,37.3487118,0,0.067971132
31/12/2008,0,-2.4,0,0,-0.15,0,0,0.095663891
2/1/2009,0,23.3,51.52,0,13.05,189.5196188,0,0.284799915
5/1/2009,5.776,65.3,254.15,27.1,80.59,135.6849315,6.4351,-0.434934137
6/1/2009,1.083,91.4,289.9,38.01,-1.35,96.16997944,3.9823,-0.479861431
7/1/2009,-146.409,-217.7,435.73,-1.41,34.18,36.71041949,-0.5882,0.099198471
8/1/2009,-7.505,0,-97.96,-0.71,29.31,18.27593809,-3.8873,0.522650883
9/1/2009,9.08,-36.4,-68.27,-5.02,34.5,-40.5611687,2.1811,0.522055994
12/1/2009,-6.331,-132,-87.04,-19.59,48.76,-178.9875898,3.5883,0.361815209
13/1/2009,-10.058,-68.4,17.81,-28.88,-34.42,-3.200311972,-20.267,0.102134308
14/1/2009,-43.961,15.4,10.81,-12.52,74.3,-226.8513519,1.8863,0.559260937
15/1/2009,8.593,-97.6,-147.51,-10.16,-364.62,-122.4879197,-3.2568,0.443836622
16/1/2009,-14.991,-115.5,-235.84,-7.43,-30.57,-7.13173292,-5.3964,-0.788120765
21/1/2009,2.764,-155.2,-196.51,-10.74,-115.36,-61.44180119,-8.7837,0.401947445
22/1/2009,3.813,-51.4,-49.51,-15.14,10.26,-89.32989912,-4.7144,0.053528365
23/1/2009,82.39,-70,-110.9,-5.39,-93.69,11.45688338,-4.9814,0.363444079
26/1/2009,0,0,0,2.24,34.24,-40.22121409,0.0572,-0.33959931
27/1/2009,1.435,-49.1,0,-36.14,-61.97,103.1655486,-1.2792,0.502562619
28/1/2009,1.373,5.2,99.17,-24.42,8.06,97.51153277,-5.3735,-0.280316913
29/1/2009,-1.808,56.3,264.87,-5.27,38.91,-39.07061563,0.2721,0.242164007
30/1/2009,16.626,-3.4,15.64,1.51,-37.79,-23.86386606,-4.0852,0.474923511
2/2/2009,-1.338,-2.4,150.57,-26.92,59.75,-15.88214615,1.0916,0.498627713
3/2/2009,-0.432,-33,165.02,-6.17,83.14,-279.8444435,-2.533,0.001034062
4/2/2009,-0.203,-5,163.45,2.53,-38.11,160.3401151,3.4669,-0.290804473
5/2/2009,4.204,10.5,195,-11.29,44.63,189.8282815,2.4776,-0.201016095
6/2/2009,0.155,12.4,52.17,22.22,108.15,380.1937848,3.1149,-0.485422676
9/2/2009,0.286,59.5,21.67,0,12.96,119.6092149,-4.0832,-0.094308315
10/2/2009,-5.198,85.5,-177.37,6.61,-34,-96.56011366,-9.0927,0.560363039
11/2/2009,-8.928,-23.4,-111.49,-0.42,14.12,-117.1542902,-8.9192,0.339199208
12/2/2009,-3.76,-34,-158.25,-3.68,35.81,-75.95197555,-2.1049,0.213812877
13/2/2009,0.754,4.1,-87.61,5.06,67.37,-41.77632739,-2.2936,-0.303877087
