Date,Indonesia.1,India,Thailand,South_Africa,Hungary,Mexico,Poland
20/1/2011,108.1319651,-137.59,0,-5.516,-207.9276114,571.7207744,119.2698962
21/1/2011,-15.44742359,3.49,249.97,-396.646,-154.9657019,77.69751413,771.2690106
24/1/2011,0,-138.48,9.79,-24.552,21.63598161,194.3339341,375.5189642
25/1/2011,-180.3296825,-50.4,187.36,471.321,86.09002613,-27.65505558,-383.0747532
26/1/2011,159.3978304,0,16.11,-270.971,97.87648965,200.9652414,-113.6859574
27/1/2011,358.8437258,150.08,216.98,20.733,-57.44118381,-659.9335189,-7.428631697
28/1/2011,174.9529399,-121.05,271.84,-57.927,-52.87094983,131.7676245,327.726834
31/1/2011,43.09868494,303.43,32.99,279.295,44.40127802,-10.58679345,292.5812406
1/2/2011,2.212878956,61.07,475.57,168.143,57.19207209,172.1398879,93.43808747
2/2/2011,0,-326.88,273.62,101.165,710.5475726,-441.3118297,508.6416696
3/2/2011,0,137.77,72.99,130.166,86.09602818,1340.224147,-44.88384279
4/2/2011,-61.15867897,67.56,368,-126.273,59.15839685,1635.240975,1059.859671
7/2/2011,144.0857813,-21.94,-2.9,-139.918,286.3356466,0,-177.5411559
8/2/2011,89.70621216,-181.16,451.78,281.861,-95.01623294,132.8509009,-33.33450075
9/2/2011,87.34602464,151.03,80.74,-143.699,-381.8101062,127.3644681,96.28093363
10/2/2011,44.77779022,-167.12,153.98,-40.076,-35.47538362,-926.0289735,-129.2705768
11/2/2011,137.6608842,54.01,182.85,6.031,-110.9078426,36.32519988,749.9394401
14/2/2011,-50.45974434,274.44,0,255.935,248.0688289,668.3802641,-287.3056552
15/2/2011,0,0,-27.58,-228.833,-102.3517956,470.9104148,-336.0394068
16/2/2011,-125.9559154,83.23,9.77,-1.38,-70.82790698,327.7019455,611.180599
17/2/2011,70.89804186,82.66,175.15,172.253,32.94037736,96.99309427,-295.1525719
18/2/2011,90.19165727,-48.03,0,-56.502,-34.70649821,369.1195424,381.006817
22/2/2011,0,-20.15,277.05,100.856,304.3260697,287.6693689,99.34054611
