,period,variable,value
398,2012-03-23,Short Term,9.604664215
399,2012-03-26,Short Term,9.459347496
400,2012-03-27,Short Term,9.288546561
401,2012-03-28,Short Term,9.53239357
402,2012-03-29,Short Term,9.554349402
403,2012-03-30,Short Term,9.823050284
404,2012-04-02,Short Term,10.0895327
405,2012-04-03,Short Term,10.07811077
406,2012-04-04,Short Term,10.39921998
407,2012-04-05,Short Term,9.480186292
408,2012-04-06,Short Term,9.162931099
409,2012-04-09,Short Term,9.091277807
410,2012-04-10,Short Term,8.764247515
411,2012-04-11,Short Term,9.199773575
412,2012-04-12,Short Term,9.336798539
413,2012-04-13,Short Term,9.839362029
414,2012-04-16,Short Term,10.05674427
415,2012-04-17,Short Term,9.703601224
416,2012-04-18,Short Term,8.941321095
417,2012-04-19,Short Term,8.611122826
418,2012-04-20,Short Term,8.563861021
419,2012-04-23,Short Term,8.619374774
420,2012-04-24,Short Term,9.162209422
421,2012-04-25,Short Term,9.794923123
422,2012-04-26,Short Term,9.319554059
423,2012-04-27,Short Term,9.309656121
424,2012-04-30,Short Term,9.284821302
425,2012-05-01,Short Term,10.22646309
426,2012-05-02,Short Term,10.50184925
427,2012-05-03,Short Term,10.58604718
428,2012-05-04,Short Term,10.51523591
429,2012-05-07,Short Term,10.39684236
430,2012-05-08,Short Term,9.287432628
431,2012-05-09,Short Term,8.266300463
432,2012-05-10,Short Term,8.536326381
433,2012-05-11,Short Term,8.485902858
434,2012-05-14,Short Term,8.9969073
435,2012-05-15,Short Term,8.894847169
436,2012-05-16,Short Term,9.013245316
437,2012-05-17,Short Term,9.304228558
438,2012-05-18,Short Term,9.48472612
439,2012-05-21,Short Term,9.3683111
440,2012-05-22,Short Term,8.78449432
441,2012-05-23,Short Term,9.477294946
442,2012-05-24,Short Term,10.16781216
443,2012-05-25,Short Term,10.71981559
444,2012-05-29,Short Term,11.28380293
445,2012-05-30,Short Term,9.878749702
446,2012-05-31,Short Term,9.50281892
447,2012-06-01,Short Term,9.314191438
448,2012-06-04,Short Term,9.248979953
449,2012-06-05,Short Term,9.738650065
450,2012-06-06,Short Term,10.10797639
451,2012-06-07,Short Term,10.29546649
452,2012-06-08,Short Term,10.23206434
453,2012-06-11,Short Term,10.38750891
454,2012-06-12,Short Term,10.63713671
455,2012-06-13,Short Term,10.48665344
456,2012-06-14,Short Term,10.81816171
457,2012-06-15,Short Term,10.72619469
458,2012-06-18,Short Term,11.05320819
459,2012-06-19,Short Term,11.64950994
460,2012-06-20,Short Term,11.38472293
461,2012-06-21,Short Term,11.23454799
462,2012-06-22,Short Term,10.84657602
463,2012-06-25,Short Term,11.00359059
464,2012-06-26,Short Term,10.75916564
465,2012-06-27,Short Term,10.38740296
466,2012-06-28,Short Term,10.28849878
467,2012-06-29,Short Term,10.3132195
468,2012-07-02,Short Term,10.15562851
469,2012-07-03,Short Term,9.275953511
470,2012-07-05,Short Term,8.768371495
471,2012-07-06,Short Term,8.959750961
472,2012-07-09,Short Term,9.2724904
473,2012-07-10,Short Term,9.401997021
474,2012-07-11,Short Term,9.389671077
475,2012-07-12,Short Term,9.549601951
476,2012-07-13,Short Term,9.28663586
477,2012-07-16,Short Term,9.268595032
478,2012-07-17,Short Term,9.318736755
479,2012-07-18,Short Term,9.819038138
480,2012-07-19,Short Term,10.42898704
481,2012-07-20,Short Term,10.30976153
482,2012-07-23,Short Term,10.30289147
483,2012-07-24,Short Term,10.60593185
484,2012-07-25,Short Term,11.11291569
485,2012-07-26,Short Term,10.72279353
486,2012-07-27,Short Term,11.39880207
487,2012-07-30,Short Term,11.53482507
488,2012-07-31,Short Term,11.65094089
489,2012-08-01,Short Term,12.675009
490,2012-08-02,Short Term,12.73879801
491,2012-08-03,Short Term,12.74963056
492,2012-08-06,Short Term,13.10121608
493,2012-08-07,Short Term,12.94399733
494,2012-08-08,Short Term,12.94323698
495,2012-08-09,Short Term,13.07190927
496,2012-08-10,Short Term,13.50290224
497,2012-08-13,Short Term,13.28464587
498,2012-08-14,Short Term,13.35968502
499,2012-08-15,Short Term,13.24861614
500,2012-08-16,Short Term,12.88870583
501,2012-08-17,Short Term,12.98769686
502,2012-08-20,Short Term,12.83754776
503,2012-08-21,Short Term,13.43271776
504,2012-08-22,Short Term,13.35969403
505,2012-08-23,Short Term,14.14692452
506,2012-08-24,Short Term,13.92561075
507,2012-08-27,Short Term,13.70472208
508,2012-08-28,Short Term,13.71390981
509,2012-08-29,Short Term,14.31336315
510,2012-08-30,Short Term,14.20640192
511,2012-08-31,Short Term,13.71798795
512,2012-09-04,Short Term,14.11814959
513,2012-09-05,Short Term,13.11366513
514,2012-09-06,Short Term,13.41654246
515,2012-09-07,Short Term,14.43857634
516,2012-09-10,Short Term,14.46953318
517,2012-09-11,Short Term,14.4650061
518,2012-09-12,Short Term,15.14578338
519,2012-09-13,Short Term,14.89371323
520,2012-09-14,Short Term,15.13837462
521,2012-09-17,Short Term,15.31822374
522,2012-09-18,Short Term,14.94131269
523,2012-09-19,Short Term,14.79885633
524,2012-09-20,Short Term,15.16787269
525,2012-09-21,Short Term,15.24411265
526,2012-09-24,Short Term,14.70387601
527,2012-09-25,Short Term,14.39557271
528,2012-09-26,Short Term,14.63385342
529,2012-09-27,Short Term,15.02400508
530,2012-09-28,Short Term,14.74420639
531,2012-10-01,Short Term,14.9094592
532,2012-10-02,Short Term,14.37322282
533,2012-10-03,Short Term,15.60853354
534,2012-10-04,Short Term,14.72724965
535,2012-10-05,Short Term,14.00780785
536,2012-10-09,Short Term,13.57410317
537,2012-10-10,Short Term,12.92648115
538,2012-10-11,Short Term,12.89829457
539,2012-10-12,Short Term,12.94173215
540,2012-10-15,Short Term,13.0087516
541,2012-10-16,Short Term,13.3704802
542,2012-10-17,Short Term,13.66509255
543,2012-10-18,Short Term,14.26370472
544,2012-10-19,Short Term,14.19551423
545,2012-10-22,Short Term,14.45201238
546,2012-10-23,Short Term,14.75067506
547,2012-10-24,Short Term,14.70587469
548,2012-10-25,Short Term,14.55018698
549,2012-10-26,Short Term,13.11228403
550,2012-10-31,Short Term,13.13346043
551,2012-11-01,Short Term,12.93049394
552,2012-11-02,Short Term,12.54424325
553,2012-11-05,Short Term,12.89204594
554,2012-11-06,Short Term,12.42555438
555,2012-11-07,Short Term,12.45702518
556,2012-11-08,Short Term,12.81603089
557,2012-11-09,Short Term,12.8185198
558,2012-11-13,Short Term,12.50370484
559,2012-11-14,Short Term,12.2249012
560,2012-11-15,Short Term,12.70039389
561,2012-11-16,Short Term,12.16755312
562,2012-11-19,Short Term,11.65331686
563,2012-11-20,Short Term,11.82589089
564,2012-11-21,Short Term,11.64404311
565,2012-11-23,Short Term,11.08625577
566,2012-11-26,Short Term,11.24581827
567,2012-11-27,Short Term,11.3678922
568,2012-11-28,Short Term,11.07272241
569,2012-11-29,Short Term,10.87056393
570,2012-11-30,Short Term,11.06268082
571,2012-12-03,Short Term,11.08423352
572,2012-12-04,Short Term,11.29452654
573,2012-12-05,Short Term,11.19734323
574,2012-12-06,Short Term,11.2077285
575,2012-12-07,Short Term,10.93647106
576,2012-12-10,Short Term,10.6727267
577,2012-12-11,Short Term,10.59115123
578,2012-12-12,Short Term,10.42113288
579,2012-12-13,Short Term,10.50650039
580,2012-12-14,Short Term,10.89084744
